measure,count,table,date
Women,5118,total_single_adults,2024-08-21
Total Single Adults,20504,total_single_adults,2024-08-21
Families,19408,families_with_children,2024-08-21
Adults,29902,families_with_children,2024-08-21
Children,33273,families_with_children,2024-08-21
Individuals,63175,families_with_children,2024-08-21
Families,1865,adult_families_census,2024-08-21
Individuals (Adults),4006,adult_families_census,2024-08-21
Single Adults,22595,combined_total_single_adults,2024-08-21
Total Individuals,89776,combined_total_shelter_census,2024-08-21
Drop-in Center Clients Served,383,single_adults,2024-08-20
Drop-in Center Overnight Census,138,single_adults,2024-08-20
Faith Bed Census,25,single_adults,2024-08-20
Outreach Contacts,360,single_adults,2024-08-20
Outreach Placements,56,single_adults,2024-08-20
Safe Haven Utilization,1762,single_adults,2024-08-20
Veterans In Short-term Housing,144,single_adults,2024-08-20
Criminal Justice Short-term Housing,NA,single_adults,2024-08-20
Families with Children Requesting Temporary Housing,162,family_intake,2024-08-20
Adult Families Requesting Temporary Housing,15,family_intake,2024-08-20
Families Placed in Overnight Accommodations,0,family_intake,2024-08-20
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-20
Adults,54426,total_shelter_census,2024-08-20
Children,33223,total_shelter_census,2024-08-20
Total Individuals,87649,total_shelter_census,2024-08-20
Men,15423,total_single_adults,2024-08-20
Women,5117,total_single_adults,2024-08-20
Total Single Adults,20540,total_single_adults,2024-08-20
Families,19389,families_with_children,2024-08-20
Adults,29883,families_with_children,2024-08-20
Children,33223,families_with_children,2024-08-20
Individuals,63106,families_with_children,2024-08-20
Families,1863,adult_families_census,2024-08-20
Individuals (Adults),4003,adult_families_census,2024-08-20
Single Adults,22609,combined_total_single_adults,2024-08-20
Total Individuals,89718,combined_total_shelter_census,2024-08-20
Drop-in Center Clients Served,405,single_adults,2024-08-19
Drop-in Center Overnight Census,144,single_adults,2024-08-19
Faith Bed Census,22,single_adults,2024-08-19
Outreach Contacts,340,single_adults,2024-08-19
Outreach Placements,45,single_adults,2024-08-19
Safe Haven Utilization,1767,single_adults,2024-08-19
Veterans In Short-term Housing,146,single_adults,2024-08-19
Criminal Justice Short-term Housing,NA,single_adults,2024-08-19
Families with Children Requesting Temporary Housing,174,family_intake,2024-08-19
Adult Families Requesting Temporary Housing,22,family_intake,2024-08-19
Families Placed in Overnight Accommodations,0,family_intake,2024-08-19
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-19
Adults,54334,total_shelter_census,2024-08-19
Children,33164,total_shelter_census,2024-08-19
Total Individuals,87498,total_shelter_census,2024-08-19
Men,15381,total_single_adults,2024-08-19
Women,5087,total_single_adults,2024-08-19
Total Single Adults,20468,total_single_adults,2024-08-19
Families,19351,families_with_children,2024-08-19
Adults,29838,families_with_children,2024-08-19
Children,33164,families_with_children,2024-08-19
Individuals,63002,families_with_children,2024-08-19
Families,1874,adult_families_census,2024-08-19
Individuals (Adults),4028,adult_families_census,2024-08-19
Single Adults,22547,combined_total_single_adults,2024-08-19
Total Individuals,89577,combined_total_shelter_census,2024-08-19
Drop-in Center Clients Served,402,single_adults,2024-08-18
Drop-in Center Overnight Census,132,single_adults,2024-08-18
Faith Bed Census,21,single_adults,2024-08-18
Outreach Contacts,267,single_adults,2024-08-18
Outreach Placements,30,single_adults,2024-08-18
Safe Haven Utilization,1753,single_adults,2024-08-18
Veterans In Short-term Housing,145,single_adults,2024-08-18
Criminal Justice Short-term Housing,NA,single_adults,2024-08-18
Families with Children Requesting Temporary Housing,89,family_intake,2024-08-18
Adult Families Requesting Temporary Housing,13,family_intake,2024-08-18
Families Placed in Overnight Accommodations,0,family_intake,2024-08-18
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-18
Adults,54312,total_shelter_census,2024-08-18
Children,33189,total_shelter_census,2024-08-18
Total Individuals,87501,total_shelter_census,2024-08-18
Men,15327,total_single_adults,2024-08-18
Women,5115,total_single_adults,2024-08-18
Total Single Adults,20442,total_single_adults,2024-08-18
Families,19365,families_with_children,2024-08-18
Adults,29838,families_with_children,2024-08-18
Children,33189,families_with_children,2024-08-18
Individuals,63027,families_with_children,2024-08-18
Families,1876,adult_families_census,2024-08-18
Individuals (Adults),4032,adult_families_census,2024-08-18
Single Adults,22493,combined_total_single_adults,2024-08-18
Total Individuals,89552,combined_total_shelter_census,2024-08-18
Drop-in Center Clients Served,267,single_adults,2024-08-15
Drop-in Center Overnight Census,91,single_adults,2024-08-15
Faith Bed Census,27,single_adults,2024-08-15
Outreach Contacts,350,single_adults,2024-08-15
Outreach Placements,47,single_adults,2024-08-15
Safe Haven Utilization,1755,single_adults,2024-08-15
Veterans In Short-term Housing,146,single_adults,2024-08-15
Criminal Justice Short-term Housing,NA,single_adults,2024-08-15
Families with Children Requesting Temporary Housing,148,family_intake,2024-08-15
Adult Families Requesting Temporary Housing,19,family_intake,2024-08-15
Families Placed in Overnight Accommodations,0,family_intake,2024-08-15
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-15
Adults,54406,total_shelter_census,2024-08-15
Children,33323,total_shelter_census,2024-08-15
Total Individuals,87729,total_shelter_census,2024-08-15
Men,15280,total_single_adults,2024-08-15
Women,5129,total_single_adults,2024-08-15
Total Single Adults,20409,total_single_adults,2024-08-15
Families,19439,families_with_children,2024-08-15
Adults,29968,families_with_children,2024-08-15
Children,33323,families_with_children,2024-08-15
Individuals,63291,families_with_children,2024-08-15
Families,1874,adult_families_census,2024-08-15
Individuals (Adults),4029,adult_families_census,2024-08-15
Single Adults,22428,combined_total_single_adults,2024-08-15
Total Individuals,89748,combined_total_shelter_census,2024-08-15
Drop-in Center Clients Served,258,single_adults,2024-08-14
Drop-in Center Overnight Census,88,single_adults,2024-08-14
Faith Bed Census,26,single_adults,2024-08-14
Outreach Contacts,322,single_adults,2024-08-14
Outreach Placements,48,single_adults,2024-08-14
Safe Haven Utilization,1752,single_adults,2024-08-14
Veterans In Short-term Housing,150,single_adults,2024-08-14
Criminal Justice Short-term Housing,NA,single_adults,2024-08-14
Families with Children Requesting Temporary Housing,173,family_intake,2024-08-14
Adult Families Requesting Temporary Housing,18,family_intake,2024-08-14
Families Placed in Overnight Accommodations,0,family_intake,2024-08-14
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-14
Adults,54388,total_shelter_census,2024-08-14
Children,33291,total_shelter_census,2024-08-14
Total Individuals,87679,total_shelter_census,2024-08-14
Men,15265,total_single_adults,2024-08-14
Women,5139,total_single_adults,2024-08-14
Total Single Adults,20404,total_single_adults,2024-08-14
Families,19421,families_with_children,2024-08-14
Adults,29965,families_with_children,2024-08-14
Children,33291,families_with_children,2024-08-14
Individuals,63256,families_with_children,2024-08-14
Families,1869,adult_families_census,2024-08-14
Individuals (Adults),4019,adult_families_census,2024-08-14
Single Adults,22420,combined_total_single_adults,2024-08-14
Total Individuals,89695,combined_total_shelter_census,2024-08-14
Drop-in Center Clients Served,277,single_adults,2024-08-12
Drop-in Center Overnight Census,89,single_adults,2024-08-12
Faith Bed Census,24,single_adults,2024-08-12
Outreach Contacts,299,single_adults,2024-08-12
Outreach Placements,51,single_adults,2024-08-12
Safe Haven Utilization,1748,single_adults,2024-08-12
Veterans In Short-term Housing,147,single_adults,2024-08-12
Criminal Justice Short-term Housing,NA,single_adults,2024-08-12
Families with Children Requesting Temporary Housing,186,family_intake,2024-08-12
Adult Families Requesting Temporary Housing,18,family_intake,2024-08-12
Families Placed in Overnight Accommodations,0,family_intake,2024-08-12
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-12
Adults,54302,total_shelter_census,2024-08-12
Children,33243,total_shelter_census,2024-08-12
Total Individuals,87545,total_shelter_census,2024-08-12
Men,15211,total_single_adults,2024-08-12
Women,5117,total_single_adults,2024-08-12
Total Single Adults,20328,total_single_adults,2024-08-12
Families,19411,families_with_children,2024-08-12
Adults,29947,families_with_children,2024-08-12
Children,33243,families_with_children,2024-08-12
Individuals,63190,families_with_children,2024-08-12
Families,1873,adult_families_census,2024-08-12
Individuals (Adults),4027,adult_families_census,2024-08-12
Single Adults,22336,combined_total_single_adults,2024-08-12
Total Individuals,89553,combined_total_shelter_census,2024-08-12
Drop-in Center Clients Served,371,single_adults,2024-08-11
Drop-in Center Overnight Census,120,single_adults,2024-08-11
Faith Bed Census,22,single_adults,2024-08-11
Outreach Contacts,188,single_adults,2024-08-11
Outreach Placements,19,single_adults,2024-08-11
Safe Haven Utilization,1758,single_adults,2024-08-11
Veterans In Short-term Housing,137,single_adults,2024-08-11
Criminal Justice Short-term Housing,NA,single_adults,2024-08-11
Families with Children Requesting Temporary Housing,85,family_intake,2024-08-11
Adult Families Requesting Temporary Housing,19,family_intake,2024-08-11
Families Placed in Overnight Accommodations,0,family_intake,2024-08-11
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-11
Adults,54298,total_shelter_census,2024-08-11
Children,33280,total_shelter_census,2024-08-11
Total Individuals,87578,total_shelter_census,2024-08-11
Men,15208,total_single_adults,2024-08-11
Women,5105,total_single_adults,2024-08-11
Total Single Adults,20313,total_single_adults,2024-08-11
Families,19445,families_with_children,2024-08-11
Adults,29989,families_with_children,2024-08-11
Children,33280,families_with_children,2024-08-11
Individuals,63269,families_with_children,2024-08-11
Families,1859,adult_families_census,2024-08-11
Individuals (Adults),3996,adult_families_census,2024-08-11
Single Adults,22350,combined_total_single_adults,2024-08-11
Total Individuals,89615,combined_total_shelter_census,2024-08-11
Drop-in Center Clients Served,267,single_adults,2024-08-08
Drop-in Center Overnight Census,86,single_adults,2024-08-08
Faith Bed Census,23,single_adults,2024-08-08
Outreach Contacts,345,single_adults,2024-08-08
Outreach Placements,76,single_adults,2024-08-08
Safe Haven Utilization,1752,single_adults,2024-08-08
Veterans In Short-term Housing,150,single_adults,2024-08-08
Criminal Justice Short-term Housing,NA,single_adults,2024-08-08
Families with Children Requesting Temporary Housing,145,family_intake,2024-08-08
Adult Families Requesting Temporary Housing,18,family_intake,2024-08-08
Families Placed in Overnight Accommodations,0,family_intake,2024-08-08
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-08
Adults,54316,total_shelter_census,2024-08-08
Children,33257,total_shelter_census,2024-08-08
Total Individuals,87573,total_shelter_census,2024-08-08
Men,15254,total_single_adults,2024-08-08
Women,5073,total_single_adults,2024-08-08
Total Single Adults,20327,total_single_adults,2024-08-08
Families,19431,families_with_children,2024-08-08
Adults,29991,families_with_children,2024-08-08
Children,33257,families_with_children,2024-08-08
Individuals,63248,families_with_children,2024-08-08
Families,1859,adult_families_census,2024-08-08
Individuals (Adults),3998,adult_families_census,2024-08-08
Single Adults,22338,combined_total_single_adults,2024-08-08
Total Individuals,89584,combined_total_shelter_census,2024-08-08
Drop-in Center Clients Served,388,single_adults,2024-08-07
Drop-in Center Overnight Census,163,single_adults,2024-08-07
Faith Bed Census,25,single_adults,2024-08-07
Outreach Contacts,323,single_adults,2024-08-07
Outreach Placements,41,single_adults,2024-08-07
Safe Haven Utilization,1731,single_adults,2024-08-07
Veterans In Short-term Housing,151,single_adults,2024-08-07
Criminal Justice Short-term Housing,NA,single_adults,2024-08-07
Families with Children Requesting Temporary Housing,142,family_intake,2024-08-07
Adult Families Requesting Temporary Housing,24,family_intake,2024-08-07
Families Placed in Overnight Accommodations,0,family_intake,2024-08-07
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-08-07
Adults,54196,total_shelter_census,2024-08-07
Children,33244,total_shelter_census,2024-08-07
Total Individuals,87440,total_shelter_census,2024-08-07
Men,15156,total_single_adults,2024-08-07
Women,5077,total_single_adults,2024-08-07
Total Single Adults,20233,total_single_adults,2024-08-07
Families,19420,families_with_children,2024-08-07
Adults,29980,families_with_children,2024-08-07
Children,33244,families_with_children,2024-08-07
Individuals,63224,families_with_children,2024-08-07
Families,1853,adult_families_census,2024-08-07
Individuals (Adults),3983,adult_families_census,2024-08-07
Single Adults,22303,combined_total_single_adults,2024-08-07
Total Individuals,89510,combined_total_shelter_census,2024-08-07
