facility_or_program_type,agency,report_date,date,series,exits,category,housing_category,notes
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,05_2023,2023-05-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HPD,05_2023,2023-05-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,05_2023,2023-05-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,05_2023,2023-05-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HPD,05_2023,2023-05-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,05_2023,2023-05-01,families_with_children,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,05_2023,2023-05-01,adult_families,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HPD,05_2023,2023-05-01,total_single_adults,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYCHA- tenant-based,HPD,05_2023,2023-05-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HPD,05_2023,2023-05-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HPD,05_2023,2023-05-01,total_single_adults,NA,Section 8,Permanent Housing,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,05_2023,2023-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,05_2023,2023-05-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,05_2023,2023-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,05_2023,2023-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,05_2023,2023-05-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,05_2023,2023-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,05_2023,2023-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,05_2023,2023-05-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,05_2023,2023-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,05_2023,2023-05-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,05_2023,2023-05-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,05_2023,2023-05-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Supportive housing,HPD,05_2023,2023-05-01,families_with_children,0,Supportive housing,Permanent Housing,NA
Supportive housing,HPD,05_2023,2023-05-01,adult_families,0,Supportive housing,Permanent Housing,NA
Supportive housing,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing,NA
Supportive housing,HPD,05_2023,2023-05-01,total_single_adults,0,Supportive housing,Permanent Housing,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,05_2023,2023-05-01,families_with_children,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,05_2023,2023-05-01,adult_families,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,05_2023,2023-05-01,total_single_adults,NA,Transitional housing,Other,NA
Unknown or unable to validate,HPD,05_2023,2023-05-01,families_with_children,0,Unknown,Unknown,NA
Unknown or unable to validate,HPD,05_2023,2023-05-01,adult_families,0,Unknown,Unknown,NA
Unknown or unable to validate,HPD,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Unknown,Unknown,NA
Unknown or unable to validate,HPD,05_2023,2023-05-01,total_single_adults,0,Unknown,Unknown,NA
A private rental market apartment with no rental subsidy,HRA,05_2023,2023-05-01,families_with_children,13,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HRA,05_2023,2023-05-01,adult_families,0,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HRA,05_2023,2023-05-01,total_single_adults,0,Private market,Permanent Housing,NA
Housing of friends or family,HRA,05_2023,2023-05-01,families_with_children,14,Family or friends,Permanent Housing,NA
Housing of friends or family,HRA,05_2023,2023-05-01,adult_families,0,Family or friends,Permanent Housing,NA
Housing of friends or family,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Family or friends,Permanent Housing,NA
Housing of friends or family,HRA,05_2023,2023-05-01,total_single_adults,23,Family or friends,Permanent Housing,NA
NYCHA,HRA,05_2023,2023-05-01,families_with_children,0,NYCHA,Permanent Housing,NA
NYCHA,HRA,05_2023,2023-05-01,adult_families,0,NYCHA,Permanent Housing,NA
NYCHA,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,NYCHA,Permanent Housing,NA
NYCHA,HRA,05_2023,2023-05-01,total_single_adults,0,NYCHA,Permanent Housing,NA
Other,HRA,05_2023,2023-05-01,families_with_children,0,Other,Other,NA
Other,HRA,05_2023,2023-05-01,adult_families,0,Other,Other,NA
Other,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Other,Other,NA
Other,HRA,05_2023,2023-05-01,total_single_adults,21,Other,Other,NA
Other affordable housing- other housing,HRA,05_2023,2023-05-01,families_with_children,0,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HRA,05_2023,2023-05-01,adult_families,0,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HRA,05_2023,2023-05-01,total_single_adults,0,Affordable housing,Permanent Housing,NA
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,05_2023,2023-05-01,families_with_children,14,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,05_2023,2023-05-01,adult_families,10,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,05_2023,2023-05-01,total_single_adults,77,Voucher,Permanent Housing,Is this a total?
Residential drug treatment and detoxification,HRA,05_2023,2023-05-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,05_2023,2023-05-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,05_2023,2023-05-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Section 8,HRA,05_2023,2023-05-01,families_with_children,0,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,05_2023,2023-05-01,adult_families,0,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,05_2023,2023-05-01,total_single_adults,0,Section 8,Permanent Housing,Is this a total?
Settings with higher levels of medical care- inpatient hospitalization,HRA,05_2023,2023-05-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,05_2023,2023-05-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,05_2023,2023-05-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,05_2023,2023-05-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,05_2023,2023-05-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,05_2023,2023-05-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Supportive housing,HRA,05_2023,2023-05-01,families_with_children,0,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,05_2023,2023-05-01,adult_families,0,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,05_2023,2023-05-01,total_single_adults,51,Supportive housing,Permanent Housing,NA
Unknown or unable to validate,HRA,05_2023,2023-05-01,families_with_children,116,Unknown,Unknown,NA
Unknown or unable to validate,HRA,05_2023,2023-05-01,adult_families,34,Unknown,Unknown,NA
Unknown or unable to validate,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Unknown,Unknown,NA
Unknown or unable to validate,HRA,05_2023,2023-05-01,total_single_adults,166,Unknown,Unknown,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,05_2023,2023-05-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,05_2023,2023-05-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,05_2023,2023-05-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
